vertical,city_slug,state_code,provider_dataset_path,listing_json_path,runtime_ready,notes
neuro,los-angeles-ca,CA,data/example_providers/neuro/los-angeles-ca__adhd_eval.json,data/listings/los-angeles-ca.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,sacramento-ca,CA,data/example_providers/neuro/sacramento-ca__adhd_eval.json,data/listings/sacramento-ca.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,san-diego-ca,CA,data/example_providers/neuro/san-diego-ca__adhd_eval.json,data/listings/san-diego-ca.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,san-francisco-ca,CA,data/example_providers/neuro/san-francisco-ca__adhd_eval.json,data/listings/san-francisco-ca.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,denver-co,CO,data/example_providers/neuro/denver-co__adhd_eval.json,data/listings/denver-co.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,hartford-ct,CT,data/example_providers/neuro/hartford-ct__adhd_eval.json,data/listings/hartford-ct.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,wilmington-de,DE,data/example_providers/neuro/wilmington-de__adhd_eval.json,data/listings/wilmington-de.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,miami-fl,FL,data/example_providers/neuro/miami-fl__adhd_eval.json,data/listings/miami-fl.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,orlando-fl,FL,data/example_providers/neuro/orlando-fl__adhd_eval.json,data/listings/orlando-fl.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,tampa-fl,FL,data/example_providers/neuro/tampa-fl__adhd_eval.json,data/listings/tampa-fl.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,atlanta-ga,GA,data/example_providers/neuro/atlanta-ga__adhd_eval.json,data/listings/atlanta-ga.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,honolulu-hi,HI,data/example_providers/neuro/honolulu-hi__adhd_eval.json,data/listings/honolulu-hi.json,true,Wave 3 state-complete grouped Neuro provider sets
